Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",757,11,53,153,2020,14271,96087
SAN,"San Diego, CA: San Diego International",413,6,31,40,1180,7244,57018
SEA,"Seattle, WA: Seattle/Tacoma International",628,12,38,78,1845,9326,86711
SFO,"San Francisco, CA: San Francisco International",441,1,64,86,2274,11157,121707
SLC,"Salt Lake City, UT: Salt Lake City International",336,22,66,114,1684,11659,73856
TPA,"Tampa, FL: Tampa International",444,2,33,12,1099,5837,56088
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2070,11,695,598,11719,34296,714316
BOS,"Boston, MA: Logan International",794,8,119,241,2491,11276,141102
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",829,10,108,46,1994,8882,119329
CLT,"Charlotte, NC: Charlotte Douglas International",597,1,67,77,1724,8654,91942
DCA,"Washington, DC: Ronald Reagan Washington National",385,1,145,161,1612,7615,92314
DEN,"Denver, CO: Denver International",726,7,141,113,3101,13403,149911
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2243,19,729,642,7857,28426,520185
DTW,"Detroit, MI: Detroit Metro Wayne County",670,9,164,232,2559,12333,143493
EWR,"Newark, NJ: Newark Liberty International",947,11,127,275,3383,13135,234400
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",489,4,70,14,1267,5118,65657
IAD,"Washington, DC: Washington Dulles International",849,5,70,178,1956,9055,127422
IAH,"Houston, TX: George Bush Intercontinental/Houston",1456,22,279,291,5368,16852,324522
JFK,"New York, NY: John F. Kennedy International",472,11,90,61,1697,7564,87457
LAS,"Las Vegas, NV: McCarran International",1343,21,69,102,3500,13089,165511
LAX,"Los Angeles, CA: Los Angeles International",1217,21,126,152,4192,19240,199687
LGA,"New York, NY: LaGuardia",603,5,154,305,2397,10738,155996
MCO,"Orlando, FL: Orlando International",812,6,106,23,2309,8835,123908
MDW,"Chicago, IL: Chicago Midway International",763,11,109,40,2036,7767,102512
MIA,"Miami, FL: Miami International",382,2,60,39,1346,5334,77612
MSP,"Minneapolis, MN: Minneapolis-St Paul International",650,14,147,132,2674,12593,140638
ORD,"Chicago, IL: Chicago O'Hare International",2422,7,244,849,8959,31298,554653
PDX,"Portland, OR: Portland International",426,6,34,35,1054,4761,52903
PHL,"Philadelphia, PA: Philadelphia International",683,4,94,217,2576,9898,154521
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1134,22,80,145,3079,13964,142571
SAN,"San Diego, CA: San Diego International",624,9,44,29,1614,7132,74175
SEA,"Seattle, WA: Seattle/Tacoma International",915,13,54,108,2477,9847,115328
SFO,"San Francisco, CA: San Francisco International",630,7,81,120,2650,11057,136023
SLC,"Salt Lake City, UT: Salt Lake City International",510,17,98,101,2202,11802,99598
TPA,"Tampa, FL: Tampa International",550,1,62,11,1419,5706,76294
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1811,9,491,475,9202,35894,452768
BOS,"Boston, MA: Logan International",815,8,177,378,3114,11936,190297
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",839,6,124,90,2109,9182,131711
CLT,"Charlotte, NC: Charlotte Douglas International",550,0,58,104,1467,8771,82137
DCA,"Washington, DC: Ronald Reagan Washington National",427,2,130,257,1785,7850,97478
DEN,"Denver, CO: Denver International",744,7,132,102,2737,13979,149862
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1621,13,257,561,4962,29517,286362
DTW,"Detroit, MI: Detroit Metro Wayne County",646,5,133,216,2369,12736,135559
EWR,"Newark, NJ: Newark Liberty International",979,12,160,629,4151,13796,323462
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",489,0,37,18,1335,5183,73056
IAD,"Washington, DC: Washington Dulles International",1186,1,74,384,2914,11878,205881
IAH,"Houston, TX: George Bush Intercontinental/Houston",946,24,114,100,2993,17478,154407
JFK,"New York, NY: John F. Kennedy International",598,17,163,90,2469,8308,139007
LAS,"Las Vegas, NV: McCarran International",1279,19,53,88,3065,13439,140766
LAX,"Los Angeles, CA: Los Angeles International",1233,21,117,194,3849,20340,192156
LGA,"New York, NY: LaGuardia",566,1,192,619,2993,10898,218992
MCO,"Orlando, FL: Orlando International",804,7,97,38,2307,9272,122475
MDW,"Chicago, IL: Chicago Midway International",825,7,93,77,2031,7927,114984
MIA,"Miami, FL: Miami International",392,9,68,37,1425,5508,78111
MSP,"Minneapolis, MN: Minneapolis-St Paul International",662,11,93,174,2434,13027,124424
ORD,"Chicago, IL: Chicago O'Hare International",2095,6,170,1037,7917,31831,577237
PDX,"Portland, OR: Portland International",406,6,23,33,941,4981,45070
PHL,"Philadelphia, PA: Philadelphia International",656,1,133,323,2866,10503,204504
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1039,20,68,137,2732,14188,125308
SAN,"San Diego, CA: San Diego International",633,4,25,41,1584,7417,75086
SEA,"Seattle, WA: Seattle/Tacoma International",927,12,39,56,2234,10370,109507
SFO,"San Francisco, CA: San Francisco International",610,6,62,120,2483,11476,134543
SLC,"Salt Lake City, UT: Salt Lake City International",437,21,82,71,1756,12146,80223
TPA,"Tampa, FL: Tampa International",562,3,41,19,1324,5885,74047
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1443,12,411,570,7672,36361,368650
BOS,"Boston, MA: Logan International",793,4,152,320,2575,12053,152254
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",725,10,104,100,1812,9245,98891
CLT,"Charlotte, NC: Charlotte Douglas International",516,0,55,156,1394,8822,75231
DCA,"Washington, DC: Ronald Reagan Washington National",318,1,126,258,1414,8040,79336
DEN,"Denver, CO: Denver International",608,5,114,110,2320,14071,119509
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1795,12,469,596,5497,29661,367889
DTW,"Detroit, MI: Detroit Metro Wayne County",549,3,142,183,1860,12805,99600
EWR,"Newark, NJ: Newark Liberty International",840,6,139,421,3474,14061,245663
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",473,9,52,41,1383,5247,75786
IAD,"Washington, DC: Washington Dulles International",1191,1,88,432,3069,13546,210626
IAH,"Houston, TX: George Bush Intercontinental/Houston",674,15,90,120,2322,17491,115208
JFK,"New York, NY: John F. Kennedy International",717,18,133,145,2371,8666,142589
LAS,"Las Vegas, NV: McCarran International",1362,22,67,88,3283,13514,148820
LAX,"Los Angeles, CA: Los Angeles International",1221,16,135,171,3981,20511,192815
LGA,"New York, NY: LaGuardia",487,2,177,474,2340,10854,161172
MCO,"Orlando, FL: Orlando International",700,8,105,406,2198,9356,121214
MDW,"Chicago, IL: Chicago Midway International",656,8,85,85,1647,8075,88480
MIA,"Miami, FL: Miami International",344,5,72,119,1393,5505,90729
MSP,"Minneapolis, MN: Minneapolis-St Paul International",484,6,96,128,2096,13129,103509
ORD,"Chicago, IL: Chicago O'Hare International",1987,10,252,907,7092,32398,483926
PDX,"Portland, OR: Portland International",420,2,26,26,1035,4998,49168
PHL,"Philadelphia, PA: Philadelphia International",680,1,146,282,2741,10646,170105
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1098,19,85,134,3081,14291,137898
SAN,"San Diego, CA: San Diego International",704,12,45,30,1643,7530,72891
SEA,"Seattle, WA: Seattle/Tacoma International",970,8,46,75,2441,10408,116889
SFO,"San Francisco, CA: San Francisco International",523,7,97,117,2717,11452,134588
SLC,"Salt Lake City, UT: Salt Lake City International",430,14,76,89,1668,12139,72728
TPA,"Tampa, FL: Tampa International",514,1,40,215,1279,5881,66375
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",944,15,362,2164,7430,34614,441291
BOS,"Boston, MA: Logan International",423,5,71,357,1510,11057,71225
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",385,5,41,250,1012,8715,48091
CLT,"Charlotte, NC: Charlotte Douglas International",304,0,17,314,943,8715,39977
DCA,"Washington, DC: Ronald Reagan Washington National",243,1,51,270,1002,7871,45778
DEN,"Denver, CO: Denver International",261,8,23,149,1023,12704,47279
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",588,8,89,581,2001,28024,109496
DTW,"Detroit, MI: Detroit Metro Wayne County",327,3,66,185,1234,11752,56381
EWR,"Newark, NJ: Newark Liberty International",433,6,104,463,2939,12521,211334
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",201,4,16,762,825,4875,38690
IAD,"Washington, DC: Washington Dulles International",879,5,41,445,2513,13995,129461
IAH,"Houston, TX: George Bush Intercontinental/Houston",304,12,23,273,1035,16117,45322
JFK,"New York, NY: John F. Kennedy International",272,19,87,304,1364,7848,62890
LAS,"Las Vegas, NV: McCarran International",716,14,34,156,1873,13056,90850
LAX,"Los Angeles, CA: Los Angeles International",648,22,46,316,2219,19144,110311
LGA,"New York, NY: LaGuardia",313,1,114,459,1996,10211,103263
MCO,"Orlando, FL: Orlando International",321,4,55,1460,1167,8336,55081
MDW,"Chicago, IL: Chicago Midway International",313,9,10,133,718,7430,30539
MIA,"Miami, FL: Miami International",153,1,28,709,709,4943,35200
MSP,"Minneapolis, MN: Minneapolis-St Paul International",247,6,49,142,1257,11444,61389
ORD,"Chicago, IL: Chicago O'Hare International",796,14,57,539,2528,30151,135092
PDX,"Portland, OR: Portland International",239,4,10,41,620,4553,29311
PHL,"Philadelphia, PA: Philadelphia International",417,3,37,419,1853,10296,92909
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",569,21,31,187,1601,13762,76057
SAN,"San Diego, CA: San Diego International",329,6,27,81,885,7087,38954
SEA,"Seattle, WA: Seattle/Tacoma International",512,13,33,75,1449,9185,64763
SFO,"San Francisco, CA: San Francisco International",291,14,24,155,1370,10677,72043
SLC,"Salt Lake City, UT: Salt Lake City International",270,13,46,132,1150,11549,45228
TPA,"Tampa, FL: Tampa International",254,5,25,616,695,5381,34232
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1445,11,500,420,9034,35723,386067
BOS,"Boston, MA: Logan International",475,5,57,151,1911,11558,79508
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",481,2,25,51,1132,9138,44994
CLT,"Charlotte, NC: Charlotte Douglas International",363,1,33,77,1183,9397,43563
DCA,"Washington, DC: Ronald Reagan Washington National",279,2,63,90,1077,8214,45005
DEN,"Denver, CO: Denver International",405,1,38,111,1502,13099,68583
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1456,12,397,471,4965,28946,284609
DTW,"Detroit, MI: Detroit Metro Wayne County",449,8,68,97,1773,12363,72844
EWR,"Newark, NJ: Newark Liberty International",547,6,67,154,2720,13510,145865
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",235,1,22,6,784,5763,32146
IAD,"Washington, DC: Washington Dulles International",1212,3,42,333,2731,14766,123576
IAH,"Houston, TX: George Bush Intercontinental/Houston",506,9,47,68,1797,16829,73184
JFK,"New York, NY: John F. Kennedy International",246,12,81,56,1343,8134,56695
LAS,"Las Vegas, NV: McCarran International",1116,14,101,126,3205,13592,148296
LAX,"Los Angeles, CA: Los Angeles International",1041,15,130,219,3793,19742,154200
LGA,"New York, NY: LaGuardia",359,7,103,127,1962,10757,81226
MCO,"Orlando, FL: Orlando International",380,6,43,19,1167,9327,48745
MDW,"Chicago, IL: Chicago Midway International",485,6,12,34,1065,7747,39866
MIA,"Miami, FL: Miami International",161,2,18,32,641,5244,29187
MSP,"Minneapolis, MN: Minneapolis-St Paul International",371,4,49,85,1877,11959,81317
ORD,"Chicago, IL: Chicago O'Hare International",1509,5,98,442,5183,30744,264611
PDX,"Portland, OR: Portland International",362,4,20,33,815,4594,34548
PHL,"Philadelphia, PA: Philadelphia International",606,1,48,149,2592,11318,119961
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",995,22,63,114,3210,14451,130270
SAN,"San Diego, CA: San Diego International",577,5,32,68,1676,7324,65670
SEA,"Seattle, WA: Seattle/Tacoma International",609,4,31,100,1474,9095,66481
SFO,"San Francisco, CA: San Francisco International",501,3,52,180,2601,10972,127795
SLC,"Salt Lake City, UT: Salt Lake City International",412,8,65,153,1531,11751,60296
TPA,"Tampa, FL: Tampa International",313,5,16,8,789,5861,32320
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1596,21,495,583,10182,34206,565846
BOS,"Boston, MA: Logan International",539,7,63,182,1965,10747,102430
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",604,6,27,51,1314,8589,58463
CLT,"Charlotte, NC: Charlotte Douglas International",533,0,39,69,1503,9204,60629
DCA,"Washington, DC: Ronald Reagan Washington National",410,3,63,86,1188,7729,50119
DEN,"Denver, CO: Denver International",448,5,100,124,1786,12101,82394
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1611,17,348,520,5449,27498,295152
DTW,"Detroit, MI: Detroit Metro Wayne County",448,9,71,97,1802,11974,76727
EWR,"Newark, NJ: Newark Liberty International",779,12,104,127,3507,12952,212281
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",347,11,23,7,997,5778,44226
IAD,"Washington, DC: Washington Dulles International",1048,6,42,175,2410,13376,125063
IAH,"Houston, TX: George Bush Intercontinental/Houston",853,14,159,270,3795,16579,208724
JFK,"New York, NY: John F. Kennedy International",273,19,75,35,1345,7809,52212
LAS,"Las Vegas, NV: McCarran International",1059,15,117,107,2871,13183,164247
LAX,"Los Angeles, CA: Los Angeles International",886,10,77,157,2756,18997,128247
LGA,"New York, NY: LaGuardia",474,7,137,148,2374,10537,118133
MCO,"Orlando, FL: Orlando International",502,7,58,23,1448,9669,66257
MDW,"Chicago, IL: Chicago Midway International",515,9,37,37,1223,7269,62487
MIA,"Miami, FL: Miami International",234,3,39,27,811,5273,41834
MSP,"Minneapolis, MN: Minneapolis-St Paul International",371,10,68,91,1417,11514,64814
ORD,"Chicago, IL: Chicago O'Hare International",1221,12,147,666,6246,28677,413775
PDX,"Portland, OR: Portland International",358,3,41,76,831,4346,41638
PHL,"Philadelphia, PA: Philadelphia International",732,2,60,134,2697,11428,154630
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1031,21,69,116,2918,13940,126695
SAN,"San Diego, CA: San Diego International",476,5,33,32,1199,7056,53937
SEA,"Seattle, WA: Seattle/Tacoma International",754,5,43,136,1812,8411,92003
SFO,"San Francisco, CA: San Francisco International",422,4,61,192,1691,10141,81773
SLC,"Salt Lake City, UT: Salt Lake City International",390,16,93,154,1533,11227,69151
TPA,"Tampa, FL: Tampa International",452,3,22,23,1073,6614,47692
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1961,25,473,921,9402,35453,538803
BOS,"Boston, MA: Logan International",847,9,115,488,2650,10989,155690
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",903,17,59,125,1944,8971,97274
CLT,"Charlotte, NC: Charlotte Douglas International",727,0,67,205,2106,9640,96042
DCA,"Washington, DC: Ronald Reagan Washington National",616,7,96,273,1730,7953,90109
DEN,"Denver, CO: Denver International",750,18,87,194,2737,12983,130701
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1736,31,416,559,5427,28122,297290
DTW,"Detroit, MI: Detroit Metro Wayne County",730,10,134,214,2695,11963,136466
EWR,"Newark, NJ: Newark Liberty International",1044,13,156,309,4478,13118,285126
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",634,25,60,37,2070,6243,100149
IAD,"Washington, DC: Washington Dulles International",1507,9,61,446,3108,13012,195686
IAH,"Houston, TX: George Bush Intercontinental/Houston",1101,32,128,153,3610,17629,185274
JFK,"New York, NY: John F. Kennedy International",816,29,143,191,2480,8207,132089
LAS,"Las Vegas, NV: McCarran International",1524,25,100,154,3632,13625,187582
LAX,"Los Angeles, CA: Los Angeles International",1584,20,162,391,4952,19804,244106
LGA,"New York, NY: LaGuardia",677,8,203,442,3181,10667,180914
MCO,"Orlando, FL: Orlando International",811,27,91,110,2630,10153,129889
MDW,"Chicago, IL: Chicago Midway International",789,15,36,100,1724,7549,87404
MIA,"Miami, FL: Miami International",365,23,114,38,1596,5572,79575
MSP,"Minneapolis, MN: Minneapolis-St Paul International",719,22,119,167,2877,11880,135361
ORD,"Chicago, IL: Chicago O'Hare International",2265,22,290,994,9043,29358,559063
PDX,"Portland, OR: Portland International",602,6,41,65,1347,4542,65082
PHL,"Philadelphia, PA: Philadelphia International",1112,5,122,391,3983,11812,240716
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1459,43,123,205,4066,14617,196331
SAN,"San Diego, CA: San Diego International",756,12,54,161,1939,7330,96371
SEA,"Seattle, WA: Seattle/Tacoma International",1097,16,78,166,2679,8711,147687
SFO,"San Francisco, CA: San Francisco International",696,8,133,339,3258,10635,174140
SLC,"Salt Lake City, UT: Salt Lake City International",626,28,310,400,2881,11924,146710
TPA,"Tampa, FL: Tampa International",687,12,48,51,1795,7011,89556
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1577,10,448,2418,8355,35048,465533
BOS,"Boston, MA: Logan International",757,4,141,1128,2947,10849,166154
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",852,4,73,320,1938,8801,99752
